feature,mean_abs_shap
BP1_reversed,0.9287705650166304
sex_numeric,0.42883274493705326
edu_numeric,0.3681341844855004
BS1_1_recoded,0.3094590403744181
marri_1_numeric,0.2361307730532037
weekend_sleep_hours,0.07245312938534104
HE_glu_numeric,0.05020296822637642
pulse_pressure,0.04369945449297533
BD2_31_numeric,0.034677138281145076
weekday_sleep_hours,0.03451835607812072
total_mvpa_min_week,0.02786460754535888
pulse_irregular,0.025421307460708205
HE_dbp_numeric,0.024361042337910078
HE_sbp_numeric,0.01805215377346228
age_numeric,0.01729995496869757
HE_obe_numeric,0.010350133654992806
MAP,0.006409022585633869
sleep_avg_weighted,0.0010348492322436887
